ogrenci_no,ad_soyad,matematik,turkce,ingilizce,beden_egitimi,uyruk,sevdigi_ders
1,Abdülahat Bilgin,51,64,62,79,Turkiye,Ingilizce
2,Bay Yurdanur Ertaş,58,58,54,81,Turkiye,Turkce
3,Samurtay Şensoy,72,53,74,60,Turkiye,Matematik
4,Dr. Gökçe Yıldırım Hayrioğlu,62,47,85,92,Turkiye,Matematik
5,Laika İlkbahar Arslan,59,52,89,56,Turkiye,Turkce
6,Bay İlgi Özdoğdu Dumanlı,46,82,79,100,Bulgaristan,Ingilizce
7,Cindoruk Alemdar,65,82,87,83,Turkiye,Beden Egitimi
8,Dr. Gülhisar Türk Duran,47,92,43,72,Turkiye,Ingilizce
9,Dr. Hinet Ferahdiba Durmuş,78,58,67,99,Suriye,Matematik
10,Dr. Sudi Akdeniz,47,58,58,71,Turkiye,Beden Egitimi
11,Kerman Akça,79,52,89,68,Turkiye,Matematik
12,Ümmühan Akdeniz,97,79,51,88,Turkiye,Ingilizce
13,Güçyeter Durmuş,48,57,47,62,Turkiye,Matematik
14,Bayan Uyanser Bilge Gülen,78,62,76,55,Turkiye,Turkce
15,Bayan Gülçe Hançer Sezgin,99,71,57,99,Turkiye,Matematik
16,Bay Çamok Benol Tevetoğlu,51,55,83,98,Suriye,Matematik
17,Dr. Nasiba Neşrin Yaman Arsoy,93,56,48,90,Turkiye,Ingilizce
18,Dr. Okgüçlü Baykan Eraslan,91,97,99,67,Turkiye,Matematik
19,Nurhayet Mecide Zorlu,68,61,52,69,Suriye,Ingilizce
20,Bayan Sırriye Aksu Çorlu,50,65,64,62,Turkiye,Matematik
21,Akdora Masar Çorlu Yıldırım,95,79,43,92,Turkiye,Turkce
22,Dr. Bozbağ Durdu,77,75,100,72,Bulgaristan,Ingilizce
23,Altınkaya Amaç Yıldırım,88,83,41,96,Turkiye,Ingilizce
24,Bay Tanhan Yılmaz,50,91,58,85,Turkiye,Turkce
25,Bay Abdülahat Ushan Ergül,92,47,72,98,Turkiye,Matematik
26,Amaç Gül,54,76,72,55,Turkiye,Beden Egitimi
27,Bay Toktuğ Karadeniz,91,83,49,81,Turkiye,Ingilizce
28,Biltaş Şensoy,98,80,53,76,Bulgaristan,Ingilizce
29,Özokçu Günaydin Akçay Bilgin,83,61,65,91,Turkiye,Beden Egitimi
30,Rüknettin Demirel,77,82,86,96,Turkiye,Turkce
31,Fadıla Nurda Dumanlı,82,49,82,71,Turkiye,Matematik
32,İlsu Ergül,83,94,74,76,Turkiye,Beden Egitimi
33,Timurtaş Tevetoğlu,88,66,70,93,Turkiye,Matematik
